CustomerID,ContractType,MonthlyCharges,TotalCharges,TenureMonths,PhoneService,MultipleLines,InternetService,OnlineSecurity,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Churn
1,Two year,37.29127085520944,6957.6478518488575,54,No,No phone service,Fiber optic,Yes,No,No internet service,No,Yes,Credit card (automatic),No
2,Month-to-month,77.72053645089318,6466.810660929207,54,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Mailed check,Yes
3,Two year,67.3361112560592,6341.240446825785,65,No,No phone service,No,No,Yes,Yes,Yes,No,Bank transfer (automatic),No
4,Two year,119.38645413868318,2506.9651988745222,21,No,No phone service,DSL,No internet service,No internet service,Yes,Yes,No,Electronic check,No
5,Month-to-month,40.18554009729276,739.2623361048923,13,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Electronic check,No
6,Month-to-month,66.19485951316248,3283.5434122447755,57,Yes,No phone service,No,No,No,No,No internet service,Yes,Mailed check,No
7,Two year,118.21180942805856,1470.8436683934185,49,No,No phone service,Fiber optic,No internet service,No internet service,No,Yes,Yes,Bank transfer (automatic),Yes
8,One year,108.7511484563522,5590.1136023294475,54,Yes,No,DSL,No,Yes,No internet service,No internet service,No,Mailed check,No
9,Two year,104.34355845638447,2834.187839648506,10,Yes,No phone service,Fiber optic,No,Yes,No internet service,No,Yes,Mailed check,Yes
10,Two year,53.45915726108952,7807.3205867933275,53,Yes,Yes,No,No internet service,Yes,Yes,No,No,Credit card (automatic),No
11,Two year,45.54077045249599,5163.679411028123,44,Yes,No,DSL,No internet service,Yes,No,No internet service,No,Credit card (automatic),No
12,Two year,90.83653301312322,6597.596452711451,47,Yes,No,No,Yes,Yes,No internet service,No,Yes,Electronic check,No
13,Month-to-month,114.5632150106103,1146.9449146606025,53,Yes,Yes,DSL,No internet service,No internet service,No,No,No,Bank transfer (automatic),No
14,Two year,80.65542326426761,6909.914409953718,46,Yes,No,DSL,Yes,Yes,No internet service,Yes,Yes,Credit card (automatic),No
15,One year,82.00675474176089,7389.781805055815,13,No,No,DSL,No,No internet service,No internet service,Yes,Yes,Electronic check,No
16,Month-to-month,55.46809752308586,3947.7891586695937,37,Yes,No,Fiber optic,No internet service,Yes,Yes,Yes,No,Bank transfer (automatic),No
17,One year,100.01385692046625,4889.398208232722,24,No,No,No,No internet service,No,Yes,No internet service,Yes,Electronic check,No
18,One year,47.01098111873463,6141.997427133664,2,No,Yes,No,No internet service,No,No internet service,No internet service,No,Credit card (automatic),No
19,One year,59.44481051278618,1481.2251553572592,14,No,Yes,No,No,Yes,Yes,No,Yes,Electronic check,No
20,One year,68.70471591409392,4070.2720040611953,10,Yes,No,DSL,Yes,No,No internet service,Yes,No,Bank transfer (automatic),No
21,Month-to-month,76.1825444602854,3249.4379194012736,35,Yes,No,Fiber optic,No,No internet service,No internet service,No internet service,No,Bank transfer (automatic),Yes
22,Month-to-month,52.0492856497723,1256.354538081768,25,No,Yes,DSL,No,Yes,No,No internet service,No,Electronic check,No
23,One year,40.44015105126752,3003.521936103098,3,Yes,Yes,No,No internet service,No internet service,Yes,Yes,Yes,Bank transfer (automatic),No
24,One year,85.55642386218857,638.5612441453992,17,No,Yes,Fiber optic,Yes,Yes,Yes,No internet service,No,Electronic check,No
25,Month-to-month,56.25538034486327,303.9140649009472,12,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Bank transfer (automatic),No
26,Month-to-month,82.88267814945772,1167.8136843230998,54,Yes,No,Fiber optic,No internet service,No internet service,No,No,Yes,Electronic check,No
27,Month-to-month,44.03700708995241,7708.609381554474,24,No,No phone service,No,No,No,No,No,Yes,Electronic check,No
28,Two year,73.7737492687884,4441.283333570634,29,No,Yes,Fiber optic,No,No,No,No,Yes,Electronic check,No
29,Two year,78.4556383621943,7729.995073110437,43,No,No,Fiber optic,No internet service,Yes,Yes,Yes,Yes,Mailed check,No
30,Two year,34.705941850840844,3516.7332388080426,25,Yes,Yes,DSL,No internet service,No internet service,Yes,No internet service,No,Bank transfer (automatic),No
31,One year,60.62098931564677,2563.3474513735505,60,No,No,DSL,Yes,No,Yes,No,Yes,Credit card (automatic),No
32,Two year,42.22173560144665,4098.520716437928,65,Yes,Yes,Fiber optic,No,Yes,No,No,No,Electronic check,No
33,One year,35.75712231302187,3572.14234019999,28,Yes,No,Fiber optic,No internet service,Yes,No,No,No,Mailed check,No
34,One year,120.07638114748501,934.7510056677769,16,Yes,No phone service,DSL,No internet service,Yes,No internet service,No internet service,Yes,Credit card (automatic),No
35,Two year,59.32419989269979,5162.52788605263,47,No,No phone service,DSL,Yes,No,No,No internet service,No,Electronic check,No
36,One year,103.68857457277177,1806.701641825837,58,No,Yes,DSL,Yes,Yes,No internet service,Yes,No,Credit card (automatic),No
37,Two year,53.16229958350251,4994.7448436928535,27,No,No,No,No internet service,No internet service,Yes,No,Yes,Mailed check,No
38,Two year,92.00674772237757,5236.588629945411,53,Yes,No,No,Yes,No internet service,No,No internet service,No,Credit card (automatic),No
39,Month-to-month,99.17073524996147,1300.99633971632,42,Yes,Yes,DSL,No internet service,No,Yes,Yes,Yes,Electronic check,No
