CustomerID,Age,AnnualIncome,SpendingScore,VisitFrequency
1,56,25903.30519613641,58,2
2,69,53051.954538008344,4,10
3,46,38654.73882073545,4,13
4,32,28666.19435603489,20,8
5,60,40301.4067363621,10,12
6,25,33776.779945784074,24,2
7,38,75307.12452608848,99,7
8,56,63224.59635424176,26,3
9,36,49880.41038025074,37,8
10,40,72199.16208335038,85,7
11,28,51160.524614714275,54,14
12,28,37080.73698007604,21,8
13,41,72846.86115904486,74,14
14,53,58083.65065526988,38,7
15,57,34441.30768510315,46,11
16,41,47144.91982874588,4,6
17,20,36865.726199228644,60,13
18,39,29258.00403553496,57,7
19,19,63892.66321297462,45,5
20,41,78641.24960705196,20,7
21,61,29021.486392712883,17,1
22,47,58444.538550358564,71,1
23,55,40240.361463172594,4,9
24,19,42693.11924352956,93,14
25,38,41114.09113641696,14,5
26,50,37040.138454802756,3,13
27,29,50727.82441917241,88,5
28,39,37535.748253834434,80,3
29,61,54056.85238669758,58,5
30,42,49246.42835826294,55,3
31,66,46415.77929700386,4,9
32,44,36386.545069376036,24,9
33,59,41348.43004147501,34,6
34,45,61330.86838738634,30,1
35,33,57513.75781436571,82,7
36,32,35336.67132802174,19,7
37,64,51489.98458143839,31,14
38,68,61270.80685057683,60,10
39,61,24958.920783179423,60,10
40,69,58150.402885699026,19,4
41,20,40060.643615812296,49,8
42,54,58558.98002889739,63,6
43,68,38551.11265186225,83,4
44,24,22926.768490032213,22,4
45,38,25586.86343175256,24,2
46,26,50721.27419992073,76,14
47,56,53895.83752582223,30,2
48,35,36435.25062343387,58,12
49,21,59578.88688166061,31,14
50,42,25077.1990659656,64,4
51,31,49008.80302029025,19,5
52,67,31834.75700356315,48,8
53,26,40222.45838296761,45,6
54,43,50710.98006974621,94,14
55,19,37093.799520740715,55,4
56,37,44231.66683655262,55,13
57,45,65094.39213821661,97,11
58,64,41346.62195715277,18,7
59,24,62535.38168097712,63,8
60,61,33054.397180135726,92,2
61,25,57947.06266872924,47,12
62,64,71623.5293098685,75,7
63,52,12925.332498090662,57,14
64,31,38046.57116794285,45,2
65,34,58656.081907708096,33,2
66,53,46954.31920935511,17,8
67,67,55567.188100569634,70,2
68,57,40940.22219926269,4,11
69,21,51298.8468120935,20,9
70,19,47664.84146911881,47,12
71,23,67516.73092489711,91,1
72,59,53816.31264951819,15,9
73,21,55064.039931128034,70,1
74,46,43821.84550816299,47,10
75,35,42685.906638912595,78,13
76,43,43511.627182705684,75,10
77,61,55916.78213567445,9,2
78,51,43685.232787696055,90,6
79,27,54346.62285344619,16,6
80,53,81131.01197968159,69,1
81,31,63066.87055147538,61,7
82,48,45109.647017482384,10,8
83,65,68018.20883245918,50,2
84,32,43878.86940467673,3,8
85,25,19428.13197233219,77,9
86,31,34878.70533623894,94,6
87,40,21938.121184612166,70,5
88,57,44727.297739380374,81,12
89,38,50276.27568784328,51,9
90,33,75146.55968412924,19,13
91,62,54903.910606462436,42,12
92,35,46713.49206786704,35,11
93,64,62441.083717752335,46,9
94,41,16832.970364881723,26,1
95,43,53534.21837162849,69,11
96,42,61562.9779083045,93,3
97,62,27821.206313302377,64,9
98,58,67156.31064810394,37,11
99,46,55077.44611241621,84,2
100,32,43770.681291487985,49,12
101,62,59491.72799159427,21,4
102,18,84060.39286706594,74,4
103,42,52727.99382587743,64,2
104,24,53723.30879450504,5,3
105,26,43109.58650689634,70,13
106,41,37252.33445802813,90,3
107,18,62455.03724816369,4,1
108,61,37158.74261136699,39,6
109,25,51073.49355829089,35,8
110,41,42835.13829852325,1,12
111,28,57184.697386195876,24,3
112,68,55004.931579304226,57,5
113,34,65563.0991638685,70,1
114,25,42349.75401717879,41,10
115,52,45951.87597059943,54,7
116,52,35318.54426326539,46,10
117,50,43335.60109885833,60,13
118,22,55659.50739567279,60,1
119,59,61354.829249680275,57,12
120,56,36167.52013733562,31,11
121,58,63044.088801584905,84,9
122,45,70334.56788207426,24,8
123,24,56201.523548355515,89,7
124,26,78151.937188371,36,10
125,25,38393.1620134464,85,7
126,29,31330.179450328746,30,5
127,51,23319.19626643582,24,5
128,50,72440.66467233775,30,11
129,65,59815.484845310864,86,13
130,40,49166.229936343174,92,5
131,41,54199.529394797304,7,1
132,54,33117.66429052435,35,8
133,52,86686.27969425239,55,12
134,61,51938.31772962841,92,11
135,57,51640.92191907339,14,1
136,39,60886.49935848038,10,4
137,44,57215.1384760507,80,9
138,52,53358.26036418697,16,14
139,18,38142.88316832032,54,9
140,52,57072.025357039936,95,5
141,54,78230.3674471255,89,4
142,64,70181.30069232467,77,3
143,31,73897.79939959096,70,3
144,20,42331.76485353222,44,12
145,18,35155.92769612129,73,5
146,22,48113.19619850528,45,10
147,43,50835.87368433042,56,1
148,31,66412.87277706423,84,5
149,56,24613.03055427771,82,6
150,44,72943.2547919092,57,7
151,26,47629.88152131516,21,12
152,32,43596.7839507887,68,9
153,32,34818.434371097486,50,3
154,43,25177.14992201346,33,2
155,59,62347.55875942872,91,14
156,30,51099.76950782606,7,3
157,68,30650.58650388419,70,12
158,49,30573.818419045758,15,9
159,56,44963.229510648074,82,12
160,66,75035.32287934089,32,7
161,69,46106.12972954593,75,9
162,49,27452.855703228408,20,13
163,21,46313.85403871084,88,2
164,47,45909.146453784946,15,5
165,54,9546.700355876426,48,13
166,40,49185.577002232814,71,4
167,56,46535.98204686983,21,2
168,62,60443.095472201276,42,9
169,32,77734.34142418018,26,9
170,60,66898.47544321636,14,6
171,46,45966.669641677545,57,11
172,53,33402.11136887495,37,6
173,30,88600.3970487479,58,8
174,49,50888.27651021732,21,6
175,24,50208.939378694195,82,1
176,68,49638.12369334995,69,4
177,39,52971.271411517824,3,13
178,45,47834.593821140865,87,7
179,19,41395.069896796456,90,13
180,59,41797.115881394115,37,13
181,62,49508.70094676002,88,2
182,23,41848.62843299352,49,9
183,45,39307.313259842536,19,8
184,45,51596.453415378455,89,8
185,61,46175.34173868717,85,7
186,61,72559.89482874033,12,4
187,37,10235.45287410482,61,2
188,47,66372.60277883692,41,3
189,28,68691.27788746444,33,12
190,45,18899.146513877757,50,6
191,42,44859.68608879477,68,12
192,56,44428.38701006313,71,12
193,50,28887.32457923268,86,5
194,18,38332.74968613687,33,12
195,44,33341.36231801257,81,8
196,69,76284.05665135435,24,6
197,30,64035.17589721191,61,6
198,58,69073.32642491237,61,1
199,20,60825.08096064853,98,4
200,56,33064.22343174156,28,5
201,23,42132.196005803395,58,12
202,25,57340.61841841877,43,11
203,44,31668.082866620818,41,3
204,26,60694.97645258582,39,13
205,54,46395.119027627974,86,9
206,50,44377.68788675604,49,1
207,68,60664.39952305237,17,6
208,59,56663.9496722906,98,6
209,61,44585.507512713804,70,10
210,41,67389.94705046373,70,5
211,32,33784.05008600154,98,12
212,49,59239.034104163955,65,5
213,49,58896.51886952575,74,10
214,41,45356.803410290144,85,14
215,58,54891.99533363177,5,13
216,69,31233.296354220456,2,5
217,66,63860.40528810352,22,6
218,66,47226.46795335517,57,8
219,69,42159.154692214404,66,2
220,29,65735.13838755334,74,6
221,56,39434.84464185861,98,1
222,19,28873.080554546606,16,4
223,20,26650.562397141442,51,14
224,66,59090.14927018459,39,10
225,54,30793.559712555754,86,3
226,66,76321.91272976546,76,9
227,34,18771.058881744168,88,3
228,66,75446.84552435057,40,6
229,19,53165.26200803927,38,1
230,19,48549.30332194411,60,12
231,45,41826.21369786575,59,6
232,40,55987.04171528106,10,4
233,54,49435.47946362727,99,8
234,49,66549.52823024782,64,13
235,50,51713.41472993059,63,11
236,18,52254.52642192817,49,9
237,36,44545.81681679216,64,4
238,19,49145.81564418399,32,10
239,61,54617.026533380886,7,12
240,43,24347.474110150615,21,10
241,49,29777.218668414305,20,6
242,23,61148.96141034072,26,1
