ID,neuroticism_scores,extroversion_scores,openness_scores,agreeableness_scores,conscientiousness_scores,major,GPA
1,15.3,50.56,42.17,55.28,44.85,ISE,2.97
2,28.95,52.01,38.37,35.82,40.25,ICS,3.95
3,23.25,41.2,46.23,60.28,35.6,ICS,3.76
4,29.65,60.1,38.28,47.18,51.85,ICS,3.43
5,29.64,42.57,37.23,47.69,39.5,ICS,3.39
6,21.48,54.28,53.81,45.91,47.84,SWE,3.79
7,24.12,56.92,41.67,51.79,36.3,SWE,2.63
8,17.81,47.35,38.9,51.01,41.32,ICS,2.43
9,27.22,59.19,35.25,56.71,40.32,ICS,3.71
10,25.31,38.2,41.15,52.4,58.0,ICS,2.1
11,19.2,41.19,45.24,55.22,42.16,ISE,3.06
12,17.48,62.0,42.74,44.43,45.88,ISE,3.16
13,18.25,52.96,37.44,51.96,49.61,SWE,3.91
14,11.67,60.99,45.05,50.95,39.34,ICS,3.25
15,32.7,55.48,42.01,51.52,45.34,ISE,2.2
16,21.32,53.18,39.62,56.71,39.52,ISE,2.84
17,25.74,51.13,40.11,45.17,42.92,SWE,2.98
18,14.98,51.66,51.03,49.71,42.69,ISE,2.47
19,34.7,47.02,58.46,55.86,35.25,ICS,3.5
20,31.64,51.02,34.97,32.56,43.38,SWE,2.36
21,18.2,62.39,43.42,55.84,42.74,ICS,2.93
22,27.08,63.77,40.4,55.72,50.28,SWE,3.82
23,28.2,47.86,47.4,55.67,37.47,ISE,2.74
24,23.25,45.53,38.46,51.13,44.94,ICS,2.99
25,9.69,41.05,48.86,47.57,32.04,ISE,2.7
26,21.6,45.87,47.2,56.38,41.4,ISE,3.85
27,36.71,41.97,44.05,44.56,51.86,ICS,2.36
28,27.89,53.23,40.92,70.78,34.05,ICS,2.79
29,15.45,47.52,35.75,40.98,37.14,SWE,2.78
30,32.7,55.84,42.05,55.26,44.85,SWE,2.76
31,18.28,51.96,34.42,61.22,39.57,ISE,3.76
32,24.53,62.74,43.18,54.58,50.3,ICS,3.88
33,30.47,58.67,49.61,39.17,32.18,ISE,2.65
34,21.7,52.65,35.19,51.96,43.56,SWE,2.92
