ID,neuroticism_scores,extroversion_scores,openness_scores,agreeableness_scores,conscientiousness_scores
1,20.84,51.96,45.72,45.53,34.6
2,22.39,54.07,55.71,41.56,44.16
3,23.75,57.8,42.42,65.82,49.34
4,9.7,45.27,44.58,58.71,40.88
5,11.85,44.53,46.97,40.71,47.39
6,7.25,60,47.58,47.5,41.18
7,7.7,49.53,45.13,60.84,42
8,26.49,63.91,43.88,37.33,46.56
9,26.06,51.27,55.05,52.57,37.64
10,15.64,45.05,47.95,46.46,41.85
11,23.83,65.33,51.16,57.19,48.01
12,16.69,50.26,37.61,39.62,40.18
13,27.59,43.91,31.11,26.27,44.12
14,25.31,37.24,46.49,48.23,50.84
15,26.18,41.47,41.23,63.49,43.98
16,23.05,50.66,52.78,54.68,45.35
17,23.14,54.67,33.76,56.56,44.03
18,29.81,59.62,32.39,54.44,42.99
19,17.52,60.73,42.42,39.31,36.69
20,10.77,59.51,50.27,53.84,31.89
21,10.48,58.64,45.02,50.08,46.17
22,24.52,45.13,49.3,48.98,38.48
23,13.95,50.58,41.05,51.58,33.91
24,22.32,53.76,58.39,63.95,36.1
25,15.33,49.88,42.89,46.59,48.66
26,36.51,49.03,40.72,52.01,53.8
27,32.6,49.53,46.28,51.5,49.29
28,28.18,55.88,49.99,44.31,44.48
29,23.19,48.73,35.74,67.76,35.66
30,23.04,51.83,42.73,55.58,47.85
31,17.62,73.82,42.02,47.99,45.26
32,31.2,46.81,39.95,49.76,47.22
33,10.75,51.33,46.3,63.58,38.95
34,15.01,49.42,48.57,60.95,33.22
35,20.66,59.13,31.87,36.56,46.05
36,20.21,48.49,37.06,61.98,35.98
37,26.57,46.18,34.75,50.52,41.89
38,19.87,48.72,46.91,45.27,30.37
39,25.01,47.11,42.51,52.65,45.34
40,22.49,53.06,43.91,47.28,40.13
41,37.07,41.06,31.69,55.99,50.22
42,17.61,66.44,45.54,41.88,48.8
43,21.56,54.7,45.72,48.44,37.58
44,27.34,44.87,37.38,47.42,40.5
45,23.2,53.03,45.41,53.31,44.43
46,19.47,63.21,49.16,58.34,36.8
47,25.79,35.97,39.68,55.66,36.79
48,15.52,54.29,40.92,50.25,25.81
49,9.67,54.46,42.59,41.42,48.26
50,27.2,47.64,54.37,56.32,48.99
51,29.81,45.38,54.77,49.31,52.49
52,22.28,49.13,45.02,62,40.61
53,3.6,61.04,36.45,44.33,33.03
54,20.43,51.5,33.91,32.83,42.82
55,30.36,44.08,37.21,59.57,41.74
56,12.26,59.73,38.31,62.17,47.49
57,28.84,45,47.3,53.95,46.97
58,22.9,42.33,41.36,51.39,40.53
59,36.17,40.96,42.15,44.25,46.81
60,22.13,61.85,57.33,59.3,48.88
61,25.14,44.25,44.89,58.35,44.17
62,13.12,48.01,41.95,50.04,42.86
63,27.81,49.88,44.47,62.38,34.37
64,17.14,66.66,42.48,59.26,39.03
65,33.76,52.96,45.77,51.83,42.43
66,19.8,56.48,45.83,55.07,46.02
67,16.19,46.38,44.64,55.45,38.62
68,30.97,51.37,43.1,57.64,45.78
69,26.04,48.55,40.79,58,45.61
70,14.33,66,30.08,53.67,41.57
71,24.69,62.99,37.42,47.65,38
72,18.84,42.53,47.54,55.4,37.95
73,12.69,37.62,47.07,55.83,43.75
74,30.21,37.41,37.11,63.26,39.48
75,16.77,53.24,35.52,48.16,41.45
76,19.67,52.17,42.49,42.63,43.35
77,21.43,61.53,38.89,45.59,35.97
78,21.41,53.7,45.8,51.01,51.14
79,27.9,58.24,38.25,58.3,36.62
80,17.78,47.74,40.92,49.58,50.7
81,13.12,52.43,42.28,57.64,52.09
82,25.01,46.96,43.38,29.76,44.36
83,33.48,57.97,47.08,45.7,52.46
84,15.35,62.23,56.54,52.24,32.26
85,23.37,41.85,51.21,52.82,43
86,25.31,50.8,48.94,42.12,40.47
87,17.07,54.46,41.37,63.44,37.7
88,25.44,31.06,46.04,35.8,42.57
89,26.48,59.17,38.44,53.31,27.69
90,14.06,54.74,52.07,54.11,36.2
91,28.52,53.84,44.46,39.77,39.28
92,20.89,33.66,51.86,51.75,51.66
93,23.78,50.87,46.54,29.64,51.22
94,19.1,54.52,43.98,46.46,44.23
95,27.9,57.1,46.15,45.38,43.42
96,13.79,41.46,38.77,59.79,41.17
97,24.53,55.03,45.86,50.61,31.78
98,31.3,56.55,49.66,58.17,45.59
99,20.7,39.71,38.69,47.48,39.68
100,21.3,52.02,50.26,48.83,44.04
