ID,neuroticism_scores,extroversion_scores,openness_scores,agreeableness_scores,conscientiousness_scores,major,GPA,role_in_project,Team_Number
1,78,34,69,42,55,ISE,3.5,executor,1
2,45,67,33,56,48,SWE,3.2,innovator,2
3,59,71,62,47,30,ICS,2.9,collaborator,1
4,36,50,58,61,40,ISE,3.7,executor,3
5,80,45,49,39,66,SWE,3.1,innovator,2
6,47,68,54,72,37,ICS,3.4,collaborator,1
7,62,55,60,41,57,ISE,3.0,executor,3
8,51,79,35,67,44,SWE,3.6,innovator,2
9,68,46,73,53,31,ICS,2.8,collaborator,1
10,39,59,64,49,52,ISE,3.8,executor,3
11,74,42,48,62,69,SWE,3.3,innovator,2
12,53,75,57,55,38,ICS,3.5,collaborator,3
