ID,neuroticism_scores,extroversion_scores,openness_scores,agreeableness_scores,conscientiousness_scores,major,GPA,Team number,Team Score,cluster,role_in_project,Team_Number
1,26.55,60.36,45.76,49.09,38.9,ICS,3.48,6,82,0,Executor,3
2,26.91,51.33,48.49,51.24,36.26,SWE,2.91,20,60,1,Collaborator,5
3,21.44,44.73,39.27,56.28,37.7,ICS,2.17,14,24,1,Collaborator,16
4,23.59,51.42,46.02,42.92,40.62,SWE,2.02,19,55,0,Executor,18
5,23.1,43.46,51.07,57.4,38.28,ICS,3.74,20,60,1,Collaborator,18
6,32.59,64.76,41.44,53.41,52.68,SWE,3.95,2,56,2,Innovator,8
7,22.23,42.44,47.99,52.68,40.37,ICS,2.31,2,56,1,Collaborator,16
8,19.97,54.69,40.19,48.09,41.53,ISE,2.99,1,61,2,Innovator,8
9,10.87,39.06,44.76,64.0,41.58,SWE,2.27,12,2,1,Collaborator,18
10,18.09,42.05,44.91,56.56,38.11,ISE,3.37,4,94,1,Collaborator,8
11,29.9,50.93,43.47,53.25,25.23,ISE,3.42,12,2,1,Collaborator,8
12,26.81,46.04,48.09,61.05,42.93,ISE,3.58,17,62,1,Collaborator,9
13,15.75,52.41,43.69,51.26,41.83,SWE,3.7,7,9,2,Innovator,14
14,17.25,52.26,39.08,43.78,51.25,SWE,3.1,4,94,0,Executor,16
15,13.08,55.51,40.52,28.47,50.65,ISE,3.46,11,93,0,Executor,5
16,41.56,62.49,52.32,44.61,48.04,ISE,3.21,11,93,0,Executor,12
17,26.28,58.17,45.1,39.61,40.69,SWE,2.25,19,55,0,Executor,4
18,21.24,53.36,46.5,39.8,41.24,ICS,3.85,15,41,0,Executor,13
19,16.27,56.55,41.15,44.28,34.15,SWE,2.64,2,56,0,Executor,16
20,20.13,45.8,42.13,52.01,33.28,ICS,2.35,1,61,1,Collaborator,10
21,20.25,64.55,35.81,47.12,47.89,SWE,2.86,3,46,2,Innovator,17
22,17.06,51.25,46.15,42.08,47.07,ISE,3.35,16,14,0,Executor,14
23,27.61,61.6,40.55,36.73,35.1,SWE,2.92,6,82,0,Executor,15
24,26.1,45.84,38.0,65.18,48.12,ISE,3.41,6,82,1,Collaborator,6
25,19.04,38.74,44.13,49.18,45.94,ISE,3.14,19,55,1,Collaborator,7
26,20.24,41.98,48.97,67.03,42.3,SWE,2.55,8,5,1,Collaborator,1
27,25.19,38.66,49.99,43.49,39.15,ISE,2.28,7,9,1,Collaborator,14
28,36.93,44.05,54.61,59.7,44.46,ISE,2.62,14,24,1,Collaborator,2
29,19.86,41.06,36.03,36.79,50.33,ISE,2.42,9,72,0,Executor,6
30,10.5,51.97,38.47,38.66,36.68,SWE,2.01,3,46,0,Executor,14
31,24.07,59.32,46.8,38.47,45.99,ICS,3.82,20,60,0,Executor,4
32,34.67,53.57,47.54,46.74,36.96,SWE,3.28,18,23,0,Executor,15
33,20.88,49.45,46.41,44.12,30.06,SWE,3.7,8,5,0,Executor,13
34,28.94,52.32,43.92,39.26,33.14,ICS,3.71,4,94,0,Executor,17
35,18.28,62.7,50.42,31.3,43.46,ISE,2.49,17,62,0,Executor,11
36,18.9,51.0,61.01,53.59,44.34,ISE,3.7,7,9,1,Collaborator,14
37,17.43,48.45,42.8,63.56,38.26,ISE,2.29,12,2,1,Collaborator,3
38,14.98,47.46,46.54,68.88,41.43,ISE,2.79,9,72,1,Collaborator,3
39,22.61,39.21,38.26,43.65,42.19,SWE,3.39,15,41,1,Collaborator,4
40,19.68,49.57,48.2,56.35,46.43,SWE,2.62,12,2,1,Collaborator,7
41,28.68,43.91,48.43,51.99,36.4,ISE,3.73,8,5,1,Collaborator,11
42,10.6,56.83,47.03,48.07,36.26,SWE,2.79,16,14,2,Innovator,9
43,13.32,45.83,45.96,53.09,47.65,SWE,2.25,18,23,1,Collaborator,2
44,18.66,42.4,38.59,59.36,36.21,SWE,3.79,12,2,1,Collaborator,16
45,24.87,55.2,34.94,39.41,36.94,SWE,3.47,19,55,0,Executor,13
46,25.96,42.37,40.67,46.42,35.87,ICS,2.01,18,23,1,Collaborator,3
47,22.3,53.16,46.07,70.76,42.34,ICS,2.61,10,87,1,Collaborator,13
48,19.05,50.0,49.28,56.81,34.45,ISE,2.38,16,14,1,Collaborator,3
49,14.22,54.07,44.1,56.99,42.76,ICS,2.99,13,81,2,Innovator,8
